id,type,subtype,Title,Image,color_hex,Description,Mutually exclusive with,exclusive_group,expected_rarity,interest_score,Notes,framing,shared_with,mirror_award,shared_role,score_rarity,score_phrasing,score_comprehension,score_fun,score_conversation_pull,score_shareability,score_admin_adjustment,score_overall,desirability_rank
1,Trait Results,trait-peak,Apex Sentinel,ach_scale,#AB9C2A,Highest Honesty-Humility in the group.,Apex Rogue,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,76,0,67.2,20
2,Trait Results,trait-peak,Apex Rogue,ach_mask,#2AAB9E,Lowest Honesty-Humility in the group.,Apex Sentinel,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,74.8,0,67,21
3,Trait Results,trait-peak,Apex Empath,ach_heart,#2AAB59,Highest Emotionality in the group.,Apex Anchor,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,73.6,0,66.8,22
4,Trait Results,trait-peak,Apex Anchor,ach_anchor,#2A48AB,Lowest Emotionality in the group.,Apex Empath,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,72.4,0,66.6,23
5,Trait Results,trait-peak,Apex Connector,ach_connector,#42AB2A,Highest Extraversion in the group.,Apex Observer,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,71.2,0,66.4,24
6,Trait Results,trait-peak,Apex Observer,ach_eye,#AB862A,Lowest Extraversion in the group.,Apex Connector,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,70,0,66.2,25
7,Trait Results,trait-peak,Apex Peacemaker,ach_peace,#AB892A,Highest Agreeableness in the group.,Apex Challenger,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,68.8,0,66.1,26
8,Trait Results,trait-peak,Apex Challenger,ach_megaphone,#AB2A9C,Lowest Agreeableness in the group.,Apex Peacemaker,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,67.6,0,65.9,27
9,Trait Results,trait-peak,Apex Planner,ach_calendar,#2AAB2A,Highest Conscientiousness in the group.,Apex Improviser,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,66.4,0,65.7,28
10,Trait Results,trait-peak,Apex Improviser,ach_dice,#2A84AB,Lowest Conscientiousness in the group.,Apex Planner,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,65.2,0,65.5,29
11,Trait Results,trait-peak,Apex Visionary,ach_telescope,#2AAB57,Highest Openness to Experience in the group.,Apex Realist,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,64,0,65.3,30
12,Trait Results,trait-peak,Apex Realist,ach_magnifying_glass,#2A59AB,Lowest Openness to Experience in the group.,Apex Visionary,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,62.8,0,65.2,31
13,Dark Traits,dark-peak,Apex Strategist,ach_knight,#2A39AB,Highest Machiavellianism in the group.,Apex Straight-Shooter,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,61.6,0,65,32
14,Dark Traits,dark-peak,Apex Straight-Shooter,ach_rook,#9EAB2A,Lowest Machiavellianism in the group.,Apex Strategist,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,60.4,0,64.8,33
15,Dark Traits,dark-peak,Apex Star,ach_star,#AB2A68,Highest Narcissism in the group.,Apex Stewart,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,59.2,0,64.6,34
16,Dark Traits,dark-peak,Apex Stewart,ach_tree,#2A95AB,Lowest Narcissism in the group.,Apex Star,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,58,0,64.5,35
17,Dark Traits,dark-peak,Apex Risk-Taker,ach_fire,#2AAB6D,Highest Psychopathy in the group.,Apex Regulator,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,56.8,0,64.3,36
18,Dark Traits,dark-peak,Apex Regulator,ach_water,#2AAB2C,Lowest Psychopathy in the group.,Apex Risk-Taker,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,55.6,0,64.1,37
19,Dark Traits,dark-peak,Apex Provocateur,ach_sword,#2A55AB,Highest Sadism in the group.,Apex Guardian,apex,Rare,Interesting,,Positive,FALSE,FALSE,,70,50,80,65,65,54.4,0,63.9,38
